Scenario_CrossLine(Clone)_0
time;Consigne;Time;Hit;BPM

Scenario_SimpleLine(Clone)_1
time;Consigne;Time;Acceleration;Gyroscope;Magnetometre
0,01998377;(0.0, 0.0, 100.0);0,01998377;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,03998375;(-0.3, 0.0, 100.0);0,03998375;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,05998373;(-0.5, 0.0, 100.0);0,05998373;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,07998371;(-0.8, 0.0, 100.0);0,07998371;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,09998369;(-1.0, 0.0, 100.0);0,09998369;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,1199837;(-1.3, 0.0, 100.0);0,1199837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,1399837;(-1.6, 0.0, 100.0);0,1399837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,1599836;(-1.8, 0.0, 100.0);0,1599836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,1799836;(-2.1, 0.0, 100.0);0,1799836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,1999836;(-2.3, 0.0, 100.0);0,1999836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,2199836;(-2.6, 0.0, 100.0);0,2199836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,2399836;(-2.9, 0.0, 100.0);0,2399836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,2599835;(-3.1, 0.0, 100.0);0,2599835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,2799835;(-3.4, 0.0, 100.0);0,2799835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,2999835;(-3.6, 0.0, 100.0);0,2999835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,3199835;(-3.9, 0.0, 100.0);0,3199835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,3399839;(-4.2, 0.0, 100.0);0,3399839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,3599839;(-4.4, 0.0, 100.0);0,3599839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,3799839;(-4.7, 0.0, 100.0);0,3799839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,3999839;(-4.9, 0.0, 100.0);0,3999839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,4199839;(-5.2, 0.0, 100.0);0,4199839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,4399838;(-5.5, 0.0, 100.0);0,4399838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,4599838;(-5.7, 0.0, 100.0);0,4599838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,4799838;(-6.0, 0.0, 100.0);0,4799838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,4999838;(-6.2, 0.0, 100.0);0,4999838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,5199838;(-6.5, 0.0, 100.0);0,5199838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,5399837;(-6.8, 0.0, 100.0);0,5399837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,5599837;(-7.0, 0.0, 100.0);0,5599837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,5799837;(-7.3, 0.0, 100.0);0,5799837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,5999837;(-7.5, 0.0, 100.0);0,5999837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,6199837;(-7.8, 0.0, 100.0);0,6199837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,6399837;(-8.1, 0.0, 100.0);0,6399837;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,6599836;(-8.3, 0.0, 100.0);0,6599836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,6799836;(-8.6, 0.0, 100.0);0,6799836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,6999836;(-8.8, 0.0, 100.0);0,6999836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,7199836;(-9.1, 0.0, 100.0);0,7199836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,7399836;(-9.4, 0.0, 100.0);0,7399836;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,7599835;(-9.6, 0.0, 100.0);0,7599835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,7799835;(-9.9, 0.0, 100.0);0,7799835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,7999835;(-10.1, 0.0, 100.0);0,7999835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,8199835;(-10.4, 0.0, 100.0);0,8199835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,8399835;(-10.7, 0.0, 100.0);0,8399835;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,8599839;(-10.9, 0.0, 100.0);0,8599839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,8799839;(-11.2, 0.0, 100.0);0,8799839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,8999839;(-11.4, 0.0, 100.0);0,8999839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,9199839;(-11.7, 0.0, 100.0);0,9199839;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,9399838;(-12.0, 0.0, 100.0);0,9399838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,9599838;(-12.2, 0.0, 100.0);0,9599838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,9799838;(-12.5, 0.0, 100.0);0,9799838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
0,9999838;(-12.7, 0.0, 100.0);0,9999838;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,019984;(-13.0, 0.0, 100.0);1,019984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,039984;(-13.3, 0.0, 100.0);1,039984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,059984;(-13.5, 0.0, 100.0);1,059984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,079984;(-13.8, 0.0, 100.0);1,079984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,099984;(-14.0, 0.0, 100.0);1,099984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,119984;(-14.3, 0.0, 100.0);1,119984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,139984;(-14.6, 0.0, 100.0);1,139984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,159984;(-14.8, 0.0, 100.0);1,159984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,179984;(-15.1, 0.0, 100.0);1,179984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,199984;(-15.3, 0.0, 100.0);1,199984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,219984;(-15.6, 0.0, 100.0);1,219984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,239984;(-15.9, 0.0, 100.0);1,239984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,259984;(-16.1, 0.0, 100.0);1,259984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,279984;(-16.4, 0.0, 100.0);1,279984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,299984;(-16.6, 0.0, 100.0);1,299984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,319983;(-16.9, 0.0, 100.0);1,319983;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,339983;(-17.2, 0.0, 100.0);1,339983;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,359983;(-17.4, 0.0, 100.0);1,359983;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,379984;(-17.7, 0.0, 100.0);1,379984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,399984;(-17.9, 0.0, 100.0);1,399984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,419984;(-18.2, 0.0, 100.0);1,419984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,439984;(-18.5, 0.0, 100.0);1,439984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,459984;(-18.7, 0.0, 100.0);1,459984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,479984;(-19.0, 0.0, 100.0);1,479984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,499984;(-19.2, 0.0, 100.0);1,499984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,519984;(-19.5, 0.0, 100.0);1,519984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,539984;(-19.8, 0.0, 100.0);1,539984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,559984;(-20.0, 0.0, 100.0);1,559984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,579984;(-20.3, 0.0, 100.0);1,579984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,599984;(-20.5, 0.0, 100.0);1,599984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,619984;(-20.8, 0.0, 100.0);1,619984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
1,639984;(-21.1, 0.0, 100.0);1,639984;(0.0, 0.0, 0.0);(0.0, 0.0, 0.0);(0.0, 0.0, 0.0)
