Scenario_SimpleLine(Clone)_3
Time;Consigne
0,02;333,3333
0,04;330,6733
0,06;328,0133
0,08;325,3533
0,09999999;322,6933
0,12;320,0333
0,14;317,3733
0,16;314,7133
0,18;312,0533
0,2;309,3933
0,22;306,7333
0,24;304,0733
0,26;301,4133
0,28;298,7533
0,3;296,0933
0,32;293,4333
0,34;290,7733
0,36;288,1133
0,38;285,4533
0,4;282,7933
0,42;280,1333
0,44;277,4733
0,46;274,8133
0,48;272,1533
0,5;269,4933
0,52;266,8333
0,54;264,1732
0,56;261,5132
0,58;258,8532
0,6;256,1932
0,62;253,5332
0,64;250,8732
0,66;248,2132
0,68;245,5532
0,7;242,8932
0,72;240,2332
0,74;237,5732
0,76;234,9132
0,78;232,2532
0,8;429,5932
0,82;426,9332
0,84;424,2732
0,86;421,6132
0,88;418,9532
0,9;416,2932
0,92;413,6332
0,94;410,9732
0,96;408,3132
0,98;405,6532
1;402,9932
1,02;400,3332
1,04;397,6732
1,06;395,0132
1,08;392,3531
1,1;389,6931
1,12;387,0331
1,14;384,3731
1,16;381,7131
1,18;379,0531
1,2;376,3931
1,22;373,7331
1,24;371,0731
1,26;368,4131
1,28;365,7531
1,3;363,0931
1,32;360,4331
1,34;357,7731
1,36;355,1131
1,38;352,4531
1,4;349,7931
1,42;347,1331
1,44;344,4731
1,46;341,8131
1,48;339,1531
1,5;336,4931
1,52;333,8331
1,54;331,1731
1,56;328,5131
1,58;325,8531
1,6;323,1931
1,62;320,5331
1,64;317,873
1,66;315,213
1,68;312,553
1,7;309,893
1,72;307,233
1,74;304,573
1,76;301,913
1,78;299,253
1,8;296,593
1,82;293,933
1,84;291,273
1,86;288,613
1,88;285,953
1,9;283,293
1,92;280,633
1,94;277,973
1,96;275,313
1,98;272,653
2;269,993
2,02;267,333
2,04;264,673
2,06;262,013
2,08;259,353
2,1;256,693
2,12;254,033
2,14;251,373
2,16;248,713
2,18;246,0529
2,2;243,3929
2,22;240,7329
2,24;238,0729
2,26;235,4129
2,28;232,7529
2,3;430,0929
2,32;427,4329
2,34;424,7729
2,36;422,1129
2,38;419,4529
2,4;416,7929
2,42;414,1329
2,44;411,4729
2,46;408,8129
2,48;406,1529
2,5;403,4929
2,52;400,8329
2,54;398,1729
2,56;395,5129
2,58;392,8529
2,6;390,1929
2,62;387,5329
2,64;384,8729
2,66;382,2129
2,68;379,5529
2,7;376,8929
2,72;374,2328
2,74;371,5728
2,76;368,9128
2,78;366,2528
2,8;363,5928
2,82;360,9328
2,84;358,2728
2,86;355,6128
2,88;352,9528
2,9;350,2928
2,92;347,6328
2,94;344,9728
2,96;342,3128
2,98;339,6528
3;336,9928
3,02;334,3328
3,04;331,6728
3,06;329,3128
3,08;326,9528
3,1;324,5928
3,12;322,2328
3,14;319,8729
3,16;317,5129
3,18;315,1529
3,2;312,7929
3,22;310,4329
3,24;308,0729
3,26;305,713
3,28;303,353
3,3;300,993
3,32;298,633
3,34;296,273
