Scenario_SimpleLine(Clone)_1
Time;Consigne
0,02;-333,3333
0,04;-333,4933
0,06;-333,6534
0,08;-333,8134
0,09999999;-333,9734
0,12;-334,1334
0,14;-334,2934
0,16;-334,4534
0,18;-334,6134
0,2;-334,7734
0,22;-334,9334
0,24;-335,0934
0,26;-335,2534
0,28;-335,4134
0,3;-335,5734
0,32;-335,7334
0,34;-335,8934
0,36;-336,0534
0,38;-336,2134
0,4;-336,3734
0,42;-336,5334
0,44;-336,6934
0,46;-336,8534
0,48;-337,0134
0,5;-337,1734
0,52;-337,3334
0,54;-337,4934
0,56;-337,6534
0,58;-337,8134
0,6;-337,9734
0,62;-338,1335
0,64;-338,2935
0,66;-338,4535
0,68;-338,6135
0,7;-338,7735
0,72;-338,9335
0,74;-339,0935
0,76;-339,2535
0,78;-339,4135
0,8;-339,5735
0,82;-339,7335
0,84;-339,8935
0,86;-340,0535
0,88;-340,2135
0,9;-340,3735
0,92;-340,5335
0,94;-340,6935
0,96;-340,8535
0,98;-341,0135
1;-341,1735
1,02;-341,3335
1,04;-341,4935
1,06;-341,6535
1,08;-341,8135
1,1;-341,9735
1,12;-342,1335
1,14;-342,2935
1,16;-342,4536
1,18;-342,6136
1,2;-342,7736
1,22;-342,9336
1,24;-343,0936
1,26;-343,2536
1,28;-343,4136
1,3;-343,5736
1,32;-343,7336
1,34;-343,8936
1,36;-344,0536
1,38;-344,2136
1,4;-344,3736
1,42;-344,5336
1,44;-344,6936
1,46;-344,8536
1,48;-345,0136
1,5;-345,1736
1,52;-345,3336
1,54;-345,4936
1,56;-345,6536
1,58;-345,8136
1,6;-345,9736
1,62;-346,1336
1,64;-346,2936
1,66;-346,4536
1,68;-346,6136
1,7;-346,7737
1,72;-346,9337
1,74;-347,0937
1,76;-347,2537
1,78;-347,4137
1,8;-347,5737
1,82;-347,7337
1,84;-347,8937
1,86;-348,0537
1,88;-348,2137
1,9;-348,3737
1,92;-348,5337
1,94;-348,6937
1,96;-348,8537
1,98;-349,0137
2;-349,1737
2,02;-349,3337
2,04;-349,4937
2,06;-349,6537
2,08;-349,8137
2,1;-349,9737
2,12;-350,1337
2,14;-350,2937
2,16;-350,4537
2,18;-350,6137
2,2;-350,7737
2,22;-350,9337
2,24;-351,0938
2,26;-351,2538
2,28;-351,4138
2,3;-351,5738
2,32;-351,7338
2,34;-351,8938
2,36;-352,0538
2,38;-352,2138
2,4;-352,3738
2,42;-352,5338
2,44;-352,6938
2,46;-352,8538
2,48;-353,0138
2,5;-353,1738
2,52;-353,3338
2,54;-353,4938
2,56;-353,6538
2,58;-353,8138
2,6;-353,9738
2,62;-354,1338
2,64;-354,2938
2,66;-354,4538
2,68;-354,6138
2,7;-354,7738
2,72;-354,9338
2,74;-355,0938
2,76;-355,2538
2,78;-355,4138
2,8;-355,5739
2,82;-355,7339
2,84;-355,8939
2,86;-356,0539
2,88;-356,2139
2,9;-356,3739
2,92;-356,5339
2,94;-356,6939
2,96;-356,8539
2,98;-357,0139
3;-357,1739
3,02;-357,3339
3,04;-357,4939
3,06;-357,6339
3,08;-357,7739
3,1;-357,9139
3,12;-358,054
3,14;-358,194
3,16;-358,334
3,18;-358,474
3,2;-358,614
3,22;-358,754
3,24;-358,894
3,26;-359,0341
3,28;-359,1741
3,3;-359,3141
3,32;-359,4541
3,34;-359,5941
3,36;-359,7341
3,38;-359,8741
3,4;-360,0142
3,42;-360,1542
3,44;-360,2942
3,46;-360,4342
3,48;-360,5742
3,5;-360,7142
3,52;-360,8542
3,54;-360,9943
3,56;-361,1343
3,58;-361,2743
3,6;-361,4143
3,62;-361,5543
3,64;-361,6943
3,66;-361,8344
3,68;-361,9744
3,7;-362,1144
3,72;-362,2544
3,74;-362,3944
3,76;-362,5344
3,78;-362,6744
3,8;-362,8145
3,82;-362,9545
3,84;-363,0945
3,86;-363,2345
3,88;-363,3745
3,9;-363,5145
3,92;-363,6545
3,94;-363,7946
3,96;-363,9346
3,98;-364,0746
4;-364,2146
4,02;-364,3546
4,04;-364,4946
4,06;-364,6346
4,08;-364,7747
4,1;-364,9147
4,12;-365,0547
4,14;-365,1947
4,16;-365,3347
4,18;-365,4747
4,2;-365,6147
4,22;-365,7548
4,24;-365,8948
4,26;-366,0348
4,28;-366,1748
4,3;-366,3148
4,32;-366,4548
4,34;-366,5948
4,36;-366,7349
4,38;-366,8749
4,4;-367,0149
4,42;-367,1549
4,44;-367,2949
4,46;-367,4349
4,48;-367,575
4,5;-367,715
4,52;-367,855
4,54;-367,995
4,56;-368,135
4,58;-368,275
4,6;-368,415
4,62;-368,5551
4,64;-368,6951
4,66;-368,8351
4,68;-368,9751
4,7;-369,1151
4,72;-369,2551
4,74;-369,3951
4,76;-369,5352
4,78;-369,6752
4,8;-369,8152
4,82;-369,9552
4,84;-370,0952
4,86;-370,2352
4,88;-370,3752
4,9;-370,5153
4,92;-370,6553
4,94;-370,7953
4,96;-370,9353
4,98;-371,0753
5;-371,2153

