Scenario_SimpleLine(Clone)_2
Time;Consigne
0,02;0
0,04;-0,24
0,06;-0,48
0,08;-0,72
0,09999999;-0,96
0,12;-1,2
0,14;-1,44
0,16;-1,68
0,18;-1,92
0,2;-2,16
0,22;-2,4
0,24;-2,64
0,26;-2,88
0,28;-3,12
0,3;-3,36
0,32;-3,6
0,34;-3,84
0,36;-4,08
0,38;-4,32
0,4;-4,559999
0,42;-4,799999
0,44;-5,039999
0,46;-5,279999
0,48;-5,519999
0,5;-5,759998
0,52;-5,999998
0,54;-6,239998
0,56;-6,479998
0,58;-6,719997
0,6;-6,959997
0,62;-7,199997
0,64;-7,439997
0,66;-7,679996
0,68;-7,919996
0,7;-8,159996
0,72;-8,399996
0,74;-8,639996
0,76;-8,879995
0,78;-9,119995
0,8;-9,359995
0,82;-9,599995
0,84;-9,839994
0,86;-10,07999
0,88;-10,31999
0,9;-10,55999
0,92;-10,79999
0,94;-11,03999
0,96;-11,27999
0,98;-11,51999
1;-11,75999
1,02;-11,99999
1,04;-12,23999
1,06;-12,47999
1,08;-12,71999
1,1;-12,95999
1,12;-13,19999
1,14;-13,43999
1,16;-13,67999
1,18;-13,91999
1,2;-14,15999
1,22;-14,39999
1,24;-14,63999
1,26;-14,87999
1,28;-15,11999
1,3;-15,35999
1,32;-15,59999
1,34;-15,83999
1,36;-16,07999
1,38;-16,31999
1,4;-16,55999
1,42;-16,79999
1,44;-17,03999
1,46;-17,27999
1,48;-17,51999
1,5;-17,75999
1,52;-17,99999
1,54;-18,23999
1,56;-18,47999
1,58;-18,71999
1,6;-18,95999
1,62;-19,19999
1,64;-19,43999
1,66;-19,67999
1,68;-19,91998
1,7;-20,15998
1,72;-20,39998
1,74;-20,63998
1,76;-20,87998
1,78;-21,11998
1,8;-21,35998
1,82;-21,59998
1,84;-21,83998
1,86;-22,07998
1,88;-22,31998
1,9;-22,55998
1,92;-22,79998
1,94;-23,03998
1,96;-23,27998
1,98;-23,51998
2;-23,75998
2,02;-23,99998
2,04;-24,23998
2,06;-24,47998
2,08;-24,71998
2,1;-24,95998
2,12;-25,19998
2,14;-25,43998
2,16;-25,67998
2,18;-25,91998
2,2;-26,15998
2,22;-26,39998
2,24;-26,63998
2,26;-26,87998
2,28;-27,11998
2,3;-27,35998
2,32;-27,59998
2,34;-27,83998
2,36;-28,07998
2,38;-28,31998
2,4;-28,55998
2,42;-28,79998
2,44;-29,03998
2,46;-29,27998
2,48;-29,51998
2,5;-29,75998
2,52;-29,99998
2,54;-30,23997
2,56;-30,47997
2,58;-30,71997
2,6;-30,95997
2,62;-31,19997
2,64;-31,43997
2,66;-31,67997
2,68;-31,91997
2,7;-32,15997
2,72;-32,39997
2,74;-32,63998
2,76;-32,87998
2,78;-33,11998
2,8;-33,35998
2,82;-33,59998
2,84;-33,83998
2,86;-34,07999
2,88;-34,31999
2,9;-34,55999
2,92;-34,79999
2,94;-35,03999
2,96;-35,27999
2,98;-35,52
3;-35,76
3,02;-36
3,04;-36,24
3,06;-36,46
3,08;-36,68
3,1;-36,90001
3,12;-37,12001
3,14;-37,34001
3,16;-37,56001
3,18;-37,78001
3,2;-38,00001
3,22;-38,22001
3,24;-38,44001
3,26;-38,66002
3,28;-38,88002
3,3;-39,10002
3,32;-39,32002
3,34;-39,54002
